id,landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,red,green,blue,yellow,white,black,orange
1,4,1,164,7,8,2,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
2,4,4,111,1,10,5,0,11,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
3,1,4,0,0,1,1,0,0,3,1,0,0,0,7,0,1,0,1,0,1,1,0,1,0,0,0
4,1,4,109,8,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,4,4,10,1,1,5,0,5,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
6,1,4,2176,0,6,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,2,3,12,0,1,1,0,0,6,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0
8,5,1,3268,684,6,4,0,3,4,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
9,4,4,1031,2,8,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
10,2,3,8512,119,6,0,0,0,4,1,0,0,0,22,0,0,0,0,1,0,1,1,1,1,0,0
11,6,2,1,0,10,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
12,3,4,70,3,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
13,4,4,196,6,3,2,3,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
14,1,4,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
15,6,1,0,0,1,1,0,0,4,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0
16,5,1,333,60,10,6,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
17,4,1,1760,3,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,6,3,3,0,1,1,0,0,3,0,0,0,1,5,0,0,0,0,0,1,0,1,0,1,0,0
19,1,4,0,0,1,1,0,0,5,0,0,0,0,2,0,1,0,0,0,1,1,0,1,1,1,0
20,5,1,195,9,8,2,0,3,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
21,1,4,28,6,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,3,1,249,61,4,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
23,4,2,945,18,10,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
24,4,1,57,2,3,7,0,5,4,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
25,3,1,128,15,5,6,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
26,3,4,505,38,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
27,4,2,342,2,10,5,0,0,3,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0
28,3,1,132,10,6,1,0,9,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
29,5,1,185,10,8,2,0,3,4,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0
30,6,2,268,2,1,1,0,0,3,0,1,1,1,4,0,0,0,0,0,1,0,1,0,1,0,0
31,4,2,905,28,10,5,0,0,4,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1
32,5,1,804,84,6,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
33,4,2,753,6,10,5,3,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
34,2,4,91,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
35,3,1,547,54,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
36,4,4,4,0,6,0,1,2,5,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1
37,1,4,9363,231,1,1,0,13,3,0,0,0,1,50,0,0,0,0,0,1,0,1,0,1,0,0
38,4,1,474,8,3,1,3,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
39,5,1,514,49,10,3,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
40,1,4,0,0,1,1,0,0,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
41,5,1,181,6,10,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
42,4,4,246,6,3,2,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
43,5,1,98,2,8,2,0,3,4,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0
44,3,1,256,22,6,6,0,3,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
45,5,1,212,1,8,2,0,2,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
46,3,4,103,0,6,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
47,4,1,637,5,10,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
48,3,1,108,17,4,6,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
49,4,2,268,1,10,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
50,5,1,1566,2,10,6,3,0,3,2,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0
51,1,4,0,0,1,1,0,0,6,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
52,4,4,323,7,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
53,5,1,372,118,9,7,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
54,3,1,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
55,4,1,1284,4,3,5,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
56,4,1,925,56,10,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57,3,4,245,56,1,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
58,3,4,1,0,6,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
59,2,3,757,11,2,0,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
60,6,1,300,48,10,0,0,0,4,0,0,0,0,4,0,1,0,0,0,1,0,1,1,1,0,0
61,3,1,93,11,9,6,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
62,4,1,2506,20,8,2,0,3,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
63,5,1,36,18,7,3,0,0,3,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
64,5,1,99,39,10,7,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
65,4,4,72,3,1,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
66,5,1,288,2,8,2,0,3,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
67,1,4,21,5,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68,4,1,28,0,10,5,0,3,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0
69,2,3,2777,28,2,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
70,1,4,0,0,1,1,5,0,4,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
71,4,4,274,7,3,5,0,2,3,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
72,3,1,41,14,6,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
73,2,3,2777,28,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74,1,4,112,4,2,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0
75,6,3,0,0,1,1,0,0,4,1,1,1,1,5,0,0,0,0,0,1,0,1,1,1,0,0
76,5,1,84,1,8,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
77,4,3,0,0,1,1,0,0,7,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1
78,6,2,1904,157,10,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
79,4,4,447,20,8,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
80,4,4,36,1,6,5,1,2,4,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
81,1,4,0,0,1,1,0,0,6,1,1,1,1,4,0,0,1,1,1,1,1,1,1,1,0,1
82,5,1,1,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
83,4,2,118,6,10,5,0,3,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
84,6,2,0,0,10,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
85,6,2,7690,15,1,1,0,0,3,0,1,1,1,6,0,0,0,0,0,1,0,1,0,1,0,0
86,1,4,19,0,1,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
87,2,3,1099,6,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
88,1,4,115,10,2,6,0,5,3,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
89,3,1,9,1,6,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
90,3,1,0,0,10,0,2,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
91,1,4,23,0,1,1,0,2,8,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
92,4,2,391,8,10,5,0,7,5,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0
93,6,3,0,0,1,1,0,0,5,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1
94,5,1,1648,39,6,2,0,3,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
95,6,2,18,1,1,1,0,0,7,0,2,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
96,2,3,407,3,2,0,0,3,6,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
97,4,2,587,9,10,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
98,5,1,140,16,10,4,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1
99,1,4,1973,77,2,0,3,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
100,1,4,49,6,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
101,5,1,10,3,8,2,0,2,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
102,3,1,0,0,6,0,2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
103,5,1,236,3,10,6,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
104,1,4,0,0,1,1,0,0,6,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
105,4,2,17,1,10,1,0,5,7,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
106,2,3,1285,14,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
107,4,1,0,0,6,0,0,3,4,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0
108,1,4,0,0,1,1,0,0,6,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0
109,5,1,143,90,6,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
110,5,1,9561,1008,7,6,0,0,2,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0
111,2,3,284,8,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
112,1,4,11,2,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
113,5,1,22402,274,5,6,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
114,2,4,912,15,2,0,0,3,7,0,0,0,0,7,0,0,1,1,0,1,1,1,1,1,1,1
115,5,1,678,35,10,3,0,0,3,0,0,0,1,14,0,0,1,1,0,1,0,1,0,1,0,0
116,6,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
117,3,4,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
118,1,4,51,2,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
119,3,1,29,3,6,6,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
120,3,1,3,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
121,5,1,1,5,7,3,0,0,6,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
122,5,1,18,2,8,2,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
123,5,1,21,4,10,7,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
124,2,4,63,0,6,1,0,5,4,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
125,4,1,236,13,10,5,0,6,5,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
126,3,1,111,9,5,6,0,3,5,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0
127,4,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
128,5,1,648,16,10,2,0,3,5,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
129,4,1,1222,31,10,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0